year,px,py,tachid,ekid
2002,139.3705627,35.7362182,6.406899914,1.11878654
2003,139.3705627,35.7362182,6.406899914,1.11878654
2004,139.3705627,35.7362182,6.406899914,1.11878654
2005,139.3705627,35.7362182,6.406899914,1.11878654
2006,139.3705627,35.7362182,6.406899914,1.11878654
2007,139.3705627,35.7362182,6.406899914,1.11878654
2008,139.3705627,35.7362182,6.406899914,1.11878654
1999,139.3746153,35.64592075,7.222781554,0.605995426
2000,139.3746153,35.64592075,7.222781554,0.605995426
2001,139.3746153,35.64592075,7.222781554,0.605995426
2002,139.3746153,35.64592075,7.222781554,0.605995426
2003,139.3746153,35.64592075,7.222781554,0.605995426
2004,139.3746153,35.64592075,7.222781554,0.605995426
2005,139.3746153,35.64592075,7.222781554,0.605995426
2006,139.3746153,35.64592075,7.222781554,0.605995426
2007,139.3746153,35.64592075,7.222781554,0.605995426
2008,139.3746153,35.64592075,7.222781554,0.605995426
1999,139.3746153,35.64984673,6.879567607,0.650181606
2000,139.3746153,35.64984673,6.879567607,0.650181606
2001,139.3746153,35.64984673,6.879567607,0.650181606
2002,139.3746153,35.64984673,6.879567607,0.650181606
2003,139.3746153,35.64984673,6.879567607,0.650181606
2004,139.3746153,35.64984673,6.879567607,0.650181606
2005,139.3746153,35.64984673,6.879567607,0.650181606
2006,139.3746153,35.64984673,6.879567607,0.650181606
2007,139.3746153,35.64984673,6.879567607,0.650181606
2008,139.3746153,35.64984673,6.879567607,0.650181606
1999,139.3746153,35.6537727,6.547376712,0.926313151
2000,139.3746153,35.6537727,6.547376712,0.926313151
2001,139.3746153,35.6537727,6.547376712,0.926313151
2002,139.3746153,35.6537727,6.547376712,0.926313151
2003,139.3746153,35.6537727,6.547376712,0.926313151
2004,139.3746153,35.6537727,6.547376712,0.926313151
2005,139.3746153,35.6537727,6.547376712,0.926313151
2006,139.3746153,35.6537727,6.547376712,0.926313151
2007,139.3746153,35.6537727,6.547376712,0.926313151
2008,139.3746153,35.6537727,6.547376712,0.926313151
1999,139.3746153,35.65769868,6.227972979,0.78781522
2000,139.3746153,35.65769868,6.227972979,0.78781522
2001,139.3746153,35.65769868,6.227972979,0.78781522
2002,139.3746153,35.65769868,6.227972979,0.78781522
2003,139.3746153,35.65769868,6.227972979,0.78781522
2004,139.3746153,35.65769868,6.227972979,0.78781522
2005,139.3746153,35.65769868,6.227972979,0.78781522
2006,139.3746153,35.65769868,6.227972979,0.78781522
2007,139.3746153,35.65769868,6.227972979,0.78781522
2008,139.3746153,35.65769868,6.227972979,0.78781522
1999,139.3746153,35.66162465,5.923425302,0.799345697
2000,139.3746153,35.66162465,5.923425302,0.799345697
2001,139.3746153,35.66162465,5.923425302,0.799345697
2002,139.3746153,35.66162465,5.923425302,0.799345697
2003,139.3746153,35.66162465,5.923425302,0.799345697
2004,139.3746153,35.66162465,5.923425302,0.799345697
2005,139.3746153,35.66162465,5.923425302,0.799345697
2006,139.3746153,35.66162465,5.923425302,0.799345697
2007,139.3746153,35.66162465,5.923425302,0.799345697
2008,139.3746153,35.66162465,5.923425302,0.799345697
1999,139.3746153,35.66555063,5.636142428,1.018365619
2000,139.3746153,35.66555063,5.636142428,1.018365619
2001,139.3746153,35.66555063,5.636142428,1.018365619
2002,139.3746153,35.66555063,5.636142428,1.018365619
2003,139.3746153,35.66555063,5.636142428,1.018365619
2004,139.3746153,35.66555063,5.636142428,1.018365619
2005,139.3746153,35.66555063,5.636142428,1.018365619
2006,139.3746153,35.66555063,5.636142428,1.018365619
2007,139.3746153,35.66555063,5.636142428,1.018365619
2008,139.3746153,35.66555063,5.636142428,1.018365619
1999,139.3746153,35.66947661,5.368896524,1.245099422
2000,139.3746153,35.66947661,5.368896524,1.245099422
2001,139.3746153,35.66947661,5.368896524,1.245099422
2002,139.3746153,35.66947661,5.368896524,1.245099422
2003,139.3746153,35.66947661,5.368896524,1.245099422
2004,139.3746153,35.66947661,5.368896524,1.245099422
2005,139.3746153,35.66947661,5.368896524,1.245099422
2006,139.3746153,35.66947661,5.368896524,1.245099422
2007,139.3746153,35.66947661,5.368896524,1.245099422
2008,139.3746153,35.66947661,5.368896524,1.245099422
1999,139.3746153,35.67340258,5.124823176,1.326530801
2000,139.3746153,35.67340258,5.124823176,1.326530801
2001,139.3746153,35.67340258,5.124823176,1.326530801
2002,139.3746153,35.67340258,5.124823176,1.326530801
2003,139.3746153,35.67340258,5.124823176,1.326530801
2004,139.3746153,35.67340258,5.124823176,1.326530801
2005,139.3746153,35.67340258,5.124823176,1.326530801
2006,139.3746153,35.67340258,5.124823176,1.326530801
2007,139.3746153,35.67340258,5.124823176,1.326530801
2008,139.3746153,35.67340258,5.124823176,1.326530801
1999,139.3746153,35.72836625,5.503361564,0.601700533
2000,139.3746153,35.72836625,5.503361564,0.601700533
2001,139.3746153,35.72836625,5.503361564,0.601700533
2002,139.3746153,35.72836625,5.503361564,0.601700533
2003,139.3746153,35.72836625,5.503361564,0.601700533
2004,139.3746153,35.72836625,5.503361564,0.601700533
2005,139.3746153,35.72836625,5.503361564,0.601700533
2006,139.3746153,35.72836625,5.503361564,0.601700533
2007,139.3746153,35.72836625,5.503361564,0.601700533
2008,139.3746153,35.72836625,5.503361564,0.601700533
